ID,PIN,Address,Managing Organization,Property Status,Date of Acquisition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Last Update,Latitude,Longitude,Location
24877,25-13-206-036-0000,10730 S TORRENCE AVE,None,Owned by City,8/31/77,0,10,51,SOUTH DEERING,C1-1,5/8/24,41.7000179,-87.5599317,"(41.70001785826611, -87.55993174253284)"
20397,20-23-110-003-0000,6405 S UNIVERSITY AVE,None,Sold,8/31/77,0,20,42,WOODLAWN,RT-4,3/14/24,41.7784617,-87.5974167,"(41.77846171614302, -87.59741669221633)"
14783,20-03-323-005-0000,4621 S CALUMET AVE,None,Owned by City,8/31/77,0,3,38,GRAND BOULEVARD,RM-5,5/8/24,41.8104848,-87.6178263,"(41.81048480499157, -87.61782625838916)"
58759,16-15-316-043-0000,4522 W FIFTH AVE,None,Owned by City,8/31/77,0,24,26,WEST GARFIELD PARK,M1-1,5/8/24,41.8695837,-87.738694,"(41.86958371818119, -87.73869403593855)"
34432,16-15-316-007-0000,749 S KOLMAR AVE,None,Owned by City,8/31/77,0,24,26,WEST GARFIELD PARK,RS-3,5/8/24,41.8709698,-87.7386298,"(41.87096978822231, -87.73862984967842)"
58705,16-13-112-001-0000,3157 W FIFTH AVE,DOH,Owned by City,8/31/77,0,28,27,EAST GARFIELD PARK,PD 1529,3/14/24,41.8782335,-87.7058293,"(41.87823349911954, -87.70582934759099)"
24257,25-16-411-012-0000,319 W 108TH PL,None,Owned by City,9/6/77,0,21,49,ROSELAND,RS-3,5/8/24,41.6967818,-87.631258,"(41.6967818174581, -87.63125798822267)"
11692,16-13-107-058-0000,3064 W FIFTH AVE,None,Owned by City,9/6/77,0,28,27,EAST GARFIELD PARK,C1-3,5/8/24,41.8792386,-87.7035249,"(41.8792386314687, -87.70352485977436)"
36402,20-18-425-031-0000,6234 S WOLCOTT AVE,None,Owned by City,9/13/77,0,16,67,WEST ENGLEWOOD,RS-3,5/20/24,41.7800738,-87.6718534,"(41.7800737714515, -87.67185342607402)"
34009,20-09-401-013-0000,312 W 52ND ST,None,Owned by City,9/13/77,0,20,37,FULLER PARK,RS-3,5/8/24,41.8002419,-87.633731,"(41.80024189398994, -87.63373095561815)"
62840,20-10-214-032-0000,4823 S EVANS AVE,None,Owned by City,9/13/77,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8069726,-87.6074003,"(41.80697255867098, -87.60740030582488)"
9765,16-22-225-028-0000,1538 S TRIPP AVE,None,Owned by City,9/13/77,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8595765,-87.7314466,"(41.859576497362625, -87.73144662010203)"
58845,16-13-306-017-0000,2941 W FLOURNOY ST,DOH,Owned by City,9/13/77,0,28,27,EAST GARFIELD PARK,RT-4,5/20/24,41.8725874,-87.7001606,"(41.87258740557713, -87.70016058296915)"
51088,19-13-316-016-0000,6137 S KEDZIE AVE,AIS,Owned by City,9/15/77,0,14,66,CHICAGO LAWN,B1-1,3/14/24,41.7813961,-87.702845,"(41.781396136393965, -87.70284496909336)"
51074,19-04-431-025-0000,4618 S CICERO AVE,None,Owned by City,9/15/77,0,22,56,GARFIELD RIDGE,B3-2,5/20/24,41.8088388,-87.7435922,"(41.808838772668295, -87.74359216000597)"
18492,20-09-408-017-0000,5206 S PRINCETON AVE,CBB Round 1,Owned by City,9/27/77,0,20,37,FULLER PARK,RS-3,5/8/24,41.799641,-87.6334378,"(41.79964100813328, -87.63343784358034)"
15133,20-03-219-018-0000,717 E BOWEN AVE,None,Sold,9/27/77,4380,4,38,GRAND BOULEVARD,RT-4,3/14/24,41.819194,-87.6085289,"(41.81919396111383, -87.60852893862949)"
58598,16-13-400-013-0000,2728 W FLOURNOY ST,None,Owned by City,9/28/77,0,28,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8731583,-87.6947986,"(41.873158337999826, -87.69479864331062)"
10687,16-15-400-025-0000,4326 W FLOURNOY ST,DPD - Real Estate,Owned by City,10/14/77,0,24,26,WEST GARFIELD PARK,RS-3,5/8/24,41.8726611,-87.7339009,"(41.87266108822772, -87.73390087474702)"
36025,20-18-419-038-0000,6138 S WOOD ST,CBB Round 1,Owned by City,11/1/77,0,15,67,WEST ENGLEWOOD,RS-3,5/8/24,41.7818942,-87.6694783,"(41.78189417658152, -87.66947829836198)"
23579,25-18-419-009-0000,11059 S HOMEWOOD AVE,AIS,Owned by City,11/4/77,0,19,75,MORGAN PARK,B3-2,3/14/24,41.6922048,-87.6690851,"(41.69220476906228, -87.66908513770012)"
35183,20-04-222-060-0000,4224 S WELLS ST,CBB Round 1,Sold,12/7/77,0,3,37,FULLER PARK,RS-3,5/1/24,41.8174117,-87.632724,"(41.81741173412051, -87.63272397290099)"
13302,16-24-300-009-0000,3110 W OGDEN AVE,None,Sold,12/20/77,0,24,29,NORTH LAWNDALE,B1-1,3/14/24,41.8586466,-87.7044013,"(41.858646584179475, -87.70440133858732)"
18050,20-09-303-008-0000,5115 S LOWE AVE,None,Owned by City,1/9/78,0,20,61,NEW CITY,RS-3,5/8/24,41.801055,-87.6413211,"(41.801055021229516, -87.64132107087325)"
37539,20-20-217-032-0000,6520 S ABERDEEN ST,None,Owned by City,2/28/78,0,16,68,ENGLEWOOD,RS-3,5/8/24,41.7753313,-87.6523132,"(41.775331265288216, -87.65231319416341)"
17793,20-14-315-028-0000,6237 S INGLESIDE AVE,None,Sold,2/28/78,0,20,42,WOODLAWN,PD 1182,3/14/24,41.7811441,-87.6022348,"(41.78114405635875, -87.60223477242378)"
62233,20-16-408-020-0000,246 W 60TH ST,None,Owned by City,2/28/78,0,20,68,ENGLEWOOD,RS-3,5/8/24,41.7855835,-87.6322726,"(41.78558353079759, -87.63227264006086)"
18663,20-08-405-041-0000,5118 S HALSTED ST,None,Owned by City,2/28/78,0,20,61,NEW CITY,B3-2,5/8/24,41.8010376,-87.6457062,"(41.80103755417602, -87.64570616815365)"
18059,20-10-217-028-0000,4914 S FORRESTVILLE AVE,None,Owned by City,2/28/78,0,20,38,GRAND BOULEVARD,RM-5,5/8/24,41.8053188,-87.6129301,"(41.80531880198741, -87.61293005273627)"
18998,20-09-100-044-0000,4701 S HALSTED ST,CBB Round 1,Owned by City,2/28/78,0,15,61,NEW CITY,B3-1,5/8/24,41.8087545,-87.645371,"(41.80875452846907, -87.64537100078336)"
15881,17-35-101-016-0000,3723 S ELLIS AVE,None,Owned by City,2/28/78,0,4,36,OAKLAND,RM-5,5/8/24,41.8275848,-87.6067453,"(41.82758475563015, -87.6067452821018)"
9746,16-22-224-013-0000,1535 S KOLIN AVE,None,Owned by City,2/28/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8594146,-87.7331832,"(41.859414631047535, -87.73318315471214)"
59031,16-22-203-036-0000,1246 S KEELER AVE,DPD - Real Estate,Owned by City,2/28/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8648076,-87.7303811,"(41.864807623965476, -87.73038110475304)"
11303,16-13-317-017-0000,3017 W ARTHINGTON ST,DPD - Planning,Owned by City,2/28/78,0,28,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8698268,-87.7016021,"(41.86982676557804, -87.70160209045453)"
58734,16-13-315-048-0000,820 S CALIFORNIA AVE,None,Owned by City,2/28/78,0,28,27,EAST GARFIELD PARK,B3-2,5/8/24,41.8703408,-87.6963409,"(41.870340780362994, -87.69634091838195)"
50626,16-13-412-012-0000,2739 W POLK ST,None,Owned by City,2/28/78,0,28,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8708082,-87.6951313,"(41.87080819892013, -87.69513133524372)"
12591,17-18-105-016-0000,2311 W MONROE ST,None,Sold,2/28/78,0,27,28,NEAR WEST SIDE,RM-5,3/14/24,41.8795849,-87.6844897,"(41.879584928047265, -87.68448968500645)"
35418,17-07-327-014-0000,2011 W WASHINGTON BLVD,DPD - Real Estate,Sold,2/28/78,2492,27,28,NEAR WEST SIDE,RT-4,5/1/24,41.8828757,-87.6771987,"(41.882875702963965, -87.67719873914437)"
67717,16-08-409-019-0000,216 N WALLER AVE,DOH,Owned by City,2/28/78,,29,25,AUSTIN,RS-3,5/8/24,41.8847466,-87.7687596,"(41.88474664824378, -87.76875959289613)"
62450,26-06-412-028-0000,3128 E 93RD ST,DPD - Planning,Owned by City,3/1/78,0,10,46,SOUTH CHICAGO,M1-2,5/8/24,41.7267372,-87.5471907,"(41.726737220219455, -87.54719072502829)"
35922,20-15-312-026-0000,6257 S STATE ST,None,Owned by City,3/1/78,0,20,40,WASHINGTON PARK,C1-2,5/8/24,41.7800457,-87.6248975,"(41.780045716737646, -87.62489749671887)"
63089,20-15-105-010-0000,223 E 55TH PL,None,Owned by City,3/1/78,0,20,40,WASHINGTON PARK,RM-5,5/8/24,41.7935907,-87.6198888,"(41.79359070901614, -87.61988883228543)"
62889,20-15-105-009-0000,219 E 55TH PL,None,Owned by City,3/1/78,0,20,40,WASHINGTON PARK,RM-5,5/8/24,41.7940397,-87.6200279,"(41.794039723982664, -87.62002788150548)"
62323,20-03-222-019-0000,443 E 42ND PL,DPD Planning,Owned by City,3/1/78,0,3,38,GRAND BOULEVARD,RM-5,5/20/24,41.8173074,-87.6148759,"(41.81730744180885, -87.61487589019994)"
62300,17-34-308-012-0000,3665 S MICHIGAN AVE,None,Owned by City,3/1/78,0,3,35,DOUGLAS,RM-5,5/8/24,41.8277342,-87.6227262,"(41.827734223383636, -87.62272621853855)"
61758,16-23-414-014-0000,1829 S SAWYER AVE,None,Owned by City,3/1/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8564944,-87.7062539,"(41.85649441601915, -87.70625387408249)"
58942,16-14-105-025-0000,3824 W ADAMS ST,DPD - Planning,Owned by City,3/1/78,0,28,26,WEST GARFIELD PARK,RM-5,5/8/24,41.8782827,-87.7217666,"(41.878282705955506, -87.72176660889988)"
9241,16-11-408-061-0000,3310 W WALNUT ST,DPD - Large Lots,Owned by City,3/1/78,0,28,27,EAST GARFIELD PARK,RT-4,5/20/24,41.8856169,-87.7091998,"(41.88561687880958, -87.70919978660434)"
51260,16-02-325-038-0000,3944 W CHICAGO AVE,None,Owned by City,3/1/78,0,37,23,HUMBOLDT PARK,B3-1,5/8/24,41.8956544,-87.7255687,"(41.89565439690852, -87.72556868479833)"
8271,16-02-325-033-0000,820 N HARDING AVE,None,Owned by City,3/1/78,0,37,23,HUMBOLDT PARK,RS-3,5/8/24,41.8960449,-87.7252329,"(41.89604493601574, -87.72523286883514)"
37704,25-09-123-027-0000,9738 S EGGLESTON AVE,None,Owned by City,3/10/78,0,9,73,WASHINGTON HEIGHTS,RS-2,5/8/24,41.7167834,-87.6342076,"(41.71678338451903, -87.63420756373756)"
18318,20-10-304-040-0000,5214 S PRAIRIE AVE,None,Owned by City,3/10/78,0,3,40,WASHINGTON PARK,RM-5,5/8/24,41.7997575,-87.6198336,"(41.79975746663487, -87.61983356647588)"
37244,20-04-417-003-0000,4435 S WELLS ST,None,Owned by City,3/10/78,0,20,37,FULLER PARK,RS-3,5/8/24,41.8135275,-87.6319385,"(41.81352749822834, -87.63193848401153)"
34922,16-23-305-002-0000,1605 S RIDGEWAY AVE,None,Owned by City,3/10/78,0,24,29,NORTH LAWNDALE,B3-2,5/8/24,41.8587237,-87.7185367,"(41.85872373585299, -87.71853674861879)"
9997,16-15-129-005-0000,415 S KILBOURN AVE,CBB Round 1,Sold,3/10/78,0,28,26,WEST GARFIELD PARK,RT-4,5/1/24,41.8746244,-87.7373976,"(41.87462443943364, -87.73739756359558)"
8552,16-09-216-033-0000,542 N LEAMINGTON AVE,None,Sold,3/15/78,2520,37,25,AUSTIN,RS-3,3/14/24,41.8906262,-87.7545712,"(41.8906261728024, -87.75457117546546)"
61570,20-08-418-001-0000,5301 S CARPENTER ST,CBB Round 1,Owned by City,3/16/78,2671,16,61,NEW CITY,RS-3,5/8/24,41.7977451,-87.6509816,"(41.79774513563953, -87.65098157867159)"
14307,20-03-420-037-0000,4553 S EVANS AVE,DOH,Owned by City,3/28/78,0,4,38,GRAND BOULEVARD,RT-4,5/20/24,41.8115279,-87.6079046,"(41.811527877610814, -87.60790464556409)"
63190,20-03-418-044-0000,620 E 46TH ST,None,Owned by City,3/28/78,0,3,38,GRAND BOULEVARD,RT-4,5/20/24,41.8115536,-87.6105695,"(41.811553649559464, -87.61056946074135)"
16096,20-02-102-001-0000,801 E OAKWOOD BLVD,None,Sold,3/28/78,0,4,36,OAKLAND,RM-5,3/14/24,41.823194,-87.6059006,"(41.82319404068162, -87.60590062934308)"
35156,17-35-101-007-0000,3713 S ELLIS AVE,None,Owned by City,3/28/78,0,4,36,OAKLAND,RM-5,5/8/24,41.8278408,-87.6070108,"(41.82784083271621, -87.60701077280046)"
10920,16-13-400-018-0000,2716 W FLOURNOY ST,None,Owned by City,3/28/78,0,28,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8731635,-87.6943448,"(41.873163538898325, -87.69434476851292)"
8023,16-01-315-014-0000,901 N RICHMOND ST,None,Sold,3/28/78,3173,26,24,WEST TOWN,RS-3,3/14/24,41.8981671,-87.7000929,"(41.898167107875835, -87.700092873351)"
34701,16-24-100-020-0000,1243 S KEDZIE AVE,DOH,Owned by City,3/30/78,0,24,29,NORTH LAWNDALE,B2-1,5/8/24,41.8651139,-87.7052802,"(41.86511385646331, -87.7052802411742)"
21784,26-05-110-044-0000,9017 S MACKINAW AVE,None,Owned by City,3/31/78,0,10,46,SOUTH CHICAGO,RS-2,5/8/24,41.7313936,-87.5425228,"(41.73139362149833, -87.54252283492085)"
61937,20-23-106-014-0000,6411 S ELLIS AVE,None,Owned by City,3/31/78,0,20,42,WOODLAWN,RT-4,5/8/24,41.7791054,-87.600087,"(41.779105357516386, -87.60008704795467)"
10019,16-23-101-007-0000,3907 W ROOSEVELT RD,None,Owned by City,3/31/78,0,24,29,NORTH LAWNDALE,B3-2,5/8/24,41.8659081,-87.723107,"(41.86590809164776, -87.72310702192534)"
36081,20-17-417-022-0000,6149 S MAY ST,None,Owned by City,5/2/78,0,16,68,ENGLEWOOD,RS-3,5/8/24,41.781817,-87.6529973,"(41.78181703350345, -87.6529973356771)"
50699,20-08-420-008-0000,835 W 53RD ST,None,Owned by City,5/2/78,0,16,61,NEW CITY,RS-3,5/8/24,41.7975606,-87.6467283,"(41.79756057067403, -87.64672830301886)"
62839,20-10-217-030-0000,4930 S FORRESTVILLE AVE,None,Owned by City,5/2/78,0,20,38,GRAND BOULEVARD,RM-5,5/8/24,41.8051468,-87.612926,"(41.80514675258632, -87.61292599029095)"
61853,16-23-220-028-0000,1440 S SAWYER AVE,DOH,Owned by City,5/2/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8613713,-87.7070927,"(41.86137134026304, -87.70709274001452)"
11260,16-13-316-030-0000,3138 W TAYLOR ST,None,Owned by City,5/2/78,0,24,27,EAST GARFIELD PARK,C1-2,5/8/24,41.8694061,-87.7048646,"(41.86940606897656, -87.70486457997217)"
35182,16-15-412-018-0000,4009 W FIFTH AVE,None,Owned by City,5/2/78,0,24,26,WEST GARFIELD PARK,B3-2,5/8/24,41.8726489,-87.725884,"(41.87264887612858, -87.72588397371496)"
10997,16-13-116-008-0000,2943 W ADAMS ST,None,Owned by City,5/2/78,0,27,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8780436,-87.7003198,"(41.878043576924384, -87.70031984779531)"
67770,13-12-420-001-0000,4842 N LINCOLN AVE,DPD - Planning,Owned by City,5/8/78,,40,04,LINCOLN SQUARE,B3-2,5/8/24,41.9696985,-87.6893675,"(41.969698524455076, -87.68936748025268)"
19741,21-31-211-022-0000,3023 E 80TH ST,None,Owned by City,5/9/78,0,7,46,SOUTH CHICAGO,RS-3,5/8/24,41.7498548,-87.5507034,"(41.74985484806716, -87.55070335809766)"
18068,20-10-218-006-0000,4917 S FORRESTVILLE AVE,None,Owned by City,5/9/78,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8052539,-87.6122279,"(41.805253939978364, -87.61222788129686)"
18067,20-10-218-001-0000,4903 S FORRESTVILLE AVE,None,Owned by City,5/9/78,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8056115,-87.6122362,"(41.805611547261286, -87.61223624042297)"
63328,20-03-223-001-0000,4235 S VINCENNES AVE,DPD - Planning,Owned by City,5/9/78,0,4,38,GRAND BOULEVARD,RM-5,5/20/24,41.8174379,-87.6135643,"(41.817437926187615, -87.61356433687901)"
13929,16-23-421-023-0000,1904 S SAWYER AVE,DOH,Owned by City,5/9/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8551369,-87.7069173,"(41.85513693910833, -87.70691731823891)"
10600,16-15-312-038-0000,917 S CICERO AVE,None,Owned by City,5/9/78,0,24,25,AUSTIN,M1-2,5/8/24,41.8689783,-87.7445247,"(41.86897829145861, -87.74452472544274)"
58471,16-13-404-026-0000,2740 W LEXINGTON ST,None,Owned by City,5/9/78,0,28,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8722423,-87.6952011,"(41.87224228214691, -87.69520109973652)"
8818,16-10-408-024-0000,4320 W MAYPOLE AVE,None,Owned by City,5/9/78,0,28,26,WEST GARFIELD PARK,RT-4,5/8/24,41.8849662,-87.7340653,"(41.88496619667204, -87.73406531428293)"
8819,16-10-409-014-0000,4250 W MAYPOLE AVE,None,Owned by City,5/9/78,0,28,26,WEST GARFIELD PARK,RT-4,5/8/24,41.8849677,-87.7327045,"(41.884967675108456, -87.73270453892243)"
58723,16-11-407-025-0000,3401 W FULTON BLVD,DOH,Owned by City,5/9/78,0,28,27,EAST GARFIELD PARK,RT-4,3/14/24,41.8860628,-87.7113883,"(41.88606284071273, -87.71138833616202)"
15187,20-03-222-018-0000,441 E 42ND PL,DPD Planning,Owned by City,5/10/78,0,3,38,GRAND BOULEVARD,RM-5,5/20/24,41.8173058,-87.6149677,"(41.817305819800744, -87.61496765785958)"
8310,16-02-414-010-0000,1018 N KEDZIE AVE,DOH,Sold,5/10/78,3751,26,23,HUMBOLDT PARK,RS-3,4/26/24,41.8998263,-87.7070683,"(41.89982631933491, -87.70706834512922)"
58367,16-13-111-021-0000,2852 W ADAMS ST,DPD - Large Lots,Owned by City,5/15/78,0,27,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8785841,-87.698327,"(41.87858408690981, -87.69832703996795)"
18069,20-10-218-009-0000,4927 S FORRESTVILLE AVE,None,Owned by City,5/18/78,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8048922,-87.6122194,"(41.80489222019433, -87.6122194222668)"
62170,20-10-218-013-0000,4945 S ST LAWRENCE AVE,None,Owned by City,5/22/78,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8046006,-87.6122126,"(41.804600622873664, -87.61221263069432)"
15529,17-34-309-045-0000,3653 S INDIANA AVE,CBB Round 1,Owned by City,5/22/78,0,3,35,DOUGLAS,RM-5,5/8/24,41.8280967,-87.6213468,"(41.82809665145301, -87.62134680698989)"
66536,16-23-128-002-0000,1507 S LAWNDALE AVE,None,Owned by City,5/22/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.860557,-87.7173369,"(41.86055700424194, -87.71733687084948)"
50741,16-22-213-016-0000,1338 S KARLOV AVE,None,Owned by City,5/22/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8631531,-87.7278841,"(41.86315314760949, -87.7278840580975)"
58712,16-13-316-020-0000,3123 W ARTHINGTON ST,None,Owned by City,5/22/78,0,24,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8697987,-87.704234,"(41.869798685418765, -87.70423401024419)"
11212,16-13-412-002-0000,803 S CALIFORNIA AVE,None,Owned by City,5/22/78,0,28,27,EAST GARFIELD PARK,B3-2,5/8/24,41.8709353,-87.6956699,"(41.87093532741032, -87.69566986323504)"
58693,16-23-108-030-0000,1342 S SPRINGFIELD AVE,DPD - Planning,Owned by City,5/23/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.863098,-87.7229954,"(41.86309799052611, -87.72299540408744)"
58729,16-13-101-036-0000,3036 W FIFTH AVE,DPD - Open Space,Sold,5/25/78,0,28,27,EAST GARFIELD PARK,RT-4,3/14/24,41.8795291,-87.7026219,"(41.87952905390672, -87.70262189095672)"
20955,20-21-124-028-0000,710 W MARQUETTE RD,None,Owned by City,5/26/78,0,16,68,ENGLEWOOD,RT-4,5/8/24,41.7727618,-87.6431312,"(41.77276176787459, -87.6431312185316)"
21375,20-23-101-039-0000,839 E 63RD ST,None,Owned by City,5/26/78,0,20,42,WOODLAWN,PD 1518,5/8/24,41.7799692,-87.6041636,"(41.77996919160752, -87.6041636475092)"
17453,20-17-129-020-0000,1310 W 59TH ST,None,Owned by City,5/26/78,0,16,67,WEST ENGLEWOOD,M1-1,5/8/24,41.787129,-87.6577324,"(41.787128964618724, -87.65773241536289)"
37187,20-09-410-020-0000,5247 S PRINCETON AVE,None,Owned by City,5/26/78,0,20,37,FULLER PARK,RS-3,5/8/24,41.7986368,-87.6327549,"(41.79863681347369, -87.6327549330003)"
59299,26-31-403-013-0000,13435 S BRANDON AVE,None,Owned by City,6/2/78,0,10,55,HEGEWISCH,RT-4,5/20/24,41.6507658,-87.5455752,"(41.65076576178646, -87.54557521877565)"
7482,11-30-205-006-0000,1810 W JUNEWAY TER,None,Sold,6/2/78,0,49,01,ROGERS PARK,RT-4,3/14/24,42.0227623,-87.6748728,"(42.02276232848041, -87.67487281412623)"
16138,17-33-402-041-0000,3633 S WELLS ST,None,Sold,6/14/78,3196,3,34,ARMOUR SQUARE,PD 183,3/14/24,41.8281284,-87.6322782,"(41.828128417961445, -87.63227817530272)"
51072,25-21-106-007-0000,439 W 111TH ST,None,Owned by City,6/19/78,0,21,49,ROSELAND,C1-1,5/8/24,41.6921902,-87.6342142,"(41.692190158817816, -87.63421421655607)"
19335,20-30-314-002-0000,2151 W 78TH ST,CDOT,Owned by City,6/20/78,0,18,71,AUBURN GRESHAM,RS-2,5/8/24,41.7523203,-87.6777758,"(41.752320323312006, -87.6777757767453)"
67711,20-30-224-032-0000,1635 W 74TH ST,CDOT,Owned by City,6/20/78,,17,67,WEST ENGLEWOOD,M2-2,5/8/24,41.7593294,-87.6650681,"(41.759329388274516, -87.66506805453461)"
35900,20-20-217-035-0000,6528 S ABERDEEN ST,DPD - Open Space,Owned by City,6/20/78,0,16,68,ENGLEWOOD,RS-3,5/20/24,41.7750706,-87.6523064,"(41.775070574042054, -87.65230638520534)"
35391,16-23-420-038-0000,1946 S SPAULDING AVE,DOH,Owned by City,6/20/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8541725,-87.7081088,"(41.85417245605896, -87.70810879410239)"
9763,16-22-225-026-0000,1524 S TRIPP AVE,None,Owned by City,6/20/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8597994,-87.7314534,"(41.85979940774674, -87.73145337423703)"
10718,16-22-211-044-0000,1356 S KEELER AVE,None,Owned by City,6/20/78,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8626372,-87.7303152,"(41.862637229185644, -87.73031515296233)"
58400,16-22-211-040-0000,1344 S KEELER AVE,None,Owned by City,6/20/78,3149,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8629116,-87.7303235,"(41.86291158804697, -87.73032349630603)"
36793,16-09-221-033-0000,4816 W RACE AVE,None,Owned by City,6/20/78,0,37,25,AUSTIN,RS-3,5/8/24,41.8907298,-87.7464302,"(41.89072980451712, -87.74643016639637)"
13576,16-25-106-032-0000,2866 W 23RD ST,CBB Round 1,Owned by City,6/22/78,0,24,30,SOUTH LAWNDALE,RT-4,5/8/24,41.8503058,-87.6980235,"(41.85030584635727, -87.69802353258164)"
61788,20-14-408-010-0000,6149 S KIMBARK AVE,None,Owned by City,7/12/78,0,20,42,WOODLAWN,RM-5,5/8/24,41.7826867,-87.5943463,"(41.782686725425116, -87.59434631936051)"
17409,20-15-122-023-0000,5806 S PRAIRIE AVE,None,Owned by City,7/12/78,0,20,40,WASHINGTON PARK,B3-3,5/8/24,41.788919,-87.6195551,"(41.788919018855026, -87.61955509828452)"
36631,16-10-106-012-0000,4729 W ERIE ST,None,Owned by City,7/12/78,0,28,25,AUSTIN,RS-3,5/8/24,41.8920322,-87.744599,"(41.892032160609055, -87.74459895043802)"
62521,20-18-405-008-0000,1707 W 59TH ST,DPD - Large Lots,Owned by City,7/24/78,0,15,67,WEST ENGLEWOOD,RS-3,5/8/24,41.7864518,-87.6672007,"(41.786451761041796, -87.66720070069611)"
51298,11-31-416-080-0000,6512 N CLARK ST,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,B3-2,3/14/24,41.9992823,-87.6713843,"(41.99928228278672, -87.67138434004572)"
51062,11-31-416-079-0000,6516 N CLARK ST,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,B3-2,3/14/24,41.9993547,-87.671396,"(41.999354690536826, -87.67139598123211)"
51185,11-31-416-078-0000,6518 N CLARK ST,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,B3-2,3/14/24,41.9994271,-87.6714077,"(41.99942712398202, -87.67140765690243)"
51076,11-31-416-077-0000,6518 N CLARK ST,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,B3-2,3/14/24,41.9994271,-87.6714077,"(41.99942712398202, -87.67140765690243)"
51245,11-31-416-094-0000,6454 N CLARK ST,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,B3-2,3/14/24,41.9997257,-87.6708008,"(41.99972570644063, -87.67080077958944)"
35319,11-31-416-031-0000,1715 W ARTHUR AVE,AIS,Owned by City,7/25/78,0,40,01,ROGERS PARK,RS-2,3/14/24,42.0002723,-87.6726084,"(42.000272296868914, -87.67260842297028)"
18739,20-11-100-020-0000,4757 S COTTAGE GROVE AVE,None,Owned by City,7/31/78,0,4,39,KENWOOD,B3-3,5/8/24,41.8079124,-87.6061606,"(41.807912410618364, -87.60616064299512)"
58373,16-13-315-042-0000,804 S CALIFORNIA AVE,None,Owned by City,7/31/78,0,28,27,EAST GARFIELD PARK,B3-2,5/8/24,41.870801,-87.6963533,"(41.87080100978315, -87.6963532941263)"
11605,16-13-103-046-0000,2957 W MADISON ST,None,Owned by City,7/31/78,0,27,27,EAST GARFIELD PARK,C1-2,5/8/24,41.8807673,-87.7009138,"(41.880767325466934, -87.70091380008536)"
50858,20-23-122-006-0000,6648 S DREXEL AVE,DPD - Planning,Owned by City,8/14/78,0,20,42,WOODLAWN,RT-4,5/8/24,41.7735595,-87.6036927,"(41.77355949009021, -87.60369272755393)"
20719,20-23-124-016-0000,6616 S GREENWOOD AVE,DPD - Planning,Owned by City,8/14/78,0,20,42,WOODLAWN,RM-5,5/8/24,41.7744533,-87.6000653,"(41.77445334674504, -87.60006534223673)"
68411,20-16-415-045-0000,314 W 61ST PL,None,Owned by City,9/22/78,0,20,68,ENGLEWOOD,RS-3,3/14/24,41.7828267,-87.6333236,"(41.78282674832832, -87.63332359902027)"
59305,16-23-127-038-0000,1554 S LAWNDALE AVE,DPD - Open Space,Leased,9/26/78,0,24,29,NORTH LAWNDALE,B3-2,3/14/24,41.8591035,-87.7179966,"(41.85910346313692, -87.71799658316928)"
34515,16-02-427-023-0000,842 N CHRISTIANA AVE,None,Owned by City,9/26/78,0,27,23,HUMBOLDT PARK,RS-3,5/8/24,41.8967841,-87.710221,"(41.89678413666647, -87.71022104741371)"
10871,16-12-330-035-0000,2934 W MADISON ST,None,Owned by City,10/5/78,0,27,27,EAST GARFIELD PARK,C1-2,5/8/24,41.881315,-87.7001519,"(41.88131501500438, -87.70015194780086)"
